2008A8PS0329H,2008,230
2009B4TS0740G,2009,264
2009A1TS0181P,2009,253
2009AATS0236P,2009,260
2021B3PS0192P,2021,620
2016A8TS0679H,2016,431
2019B3PS0339P,2019,512
2010B5PS0404P,2010,296
2011A8PS0961P,2011,318
2008A3TS0258G,2008,235
2021B4PS0850G,2021,622
2011A3TS0048G,2011,303
2010A4PS0246H,2010,290
2014AATS0642H,2014,393
2011B4PS0501P,2011,300
2006B2PS0183P,2006,165
2011AATS0098P,2011,316
2013B3TS0616G,2013,353
2013B2PS0244G,2013,361
2015A7PS0221H,2015,416
2018A8TS0067P,2018,478
2004B2TS0386G,2004,119
2015A4PS0856H,2015,417
2013B1TS0150H,2013,371
2013A7PS0083H,2013,351
2021B3TS0104G,2021,619
2018B2TS0943H,2018,492
2009A1TS0278P,2009,259
2019A4TS0168H,2019,516
2005A4TS0819H,2005,135
2024A1TS0937P,2024,838
2006A4TS0560P,2006,172
2004B2TS0590H,2004,112
2015B2TS0059H,2015,411
2024B3TS0887H,2024,788
2016A8PS0786G,2016,448
2012B4TS0177P,2012,349
2012B2TS0080G,2012,342
2020B3TS0428G,2020,571
2019B4PS0476P,2019,506
2019A1PS0275H,2019,511
2020B4TS0096P,2020,578
2010A4PS0430P,2010,297
2004A3TS0640G,2004,118
2019A1TS0128P,2019,544
2004B3TS0984H,2004,121
2008A8PS0910G,2008,233
2024B2TS0383P,2024,815
2024A4TS0985P,2024,825
2006A7TS0875H,2006,154
2022B5TS0072P,2022,654
2018A3PS0940H,2018,484
2010A1TS0082H,2010,290
2019AAPS0463P,2019,549
2010A7TS0790P,2010,299
2022AAPS0502G,2022,691
2013A7TS0792H,2013,370
2015B3PS0237H,2015,401
2020B4TS0581G,2020,598
2017A1TS0409H,2017,474
2021A4TS0394P,2021,639
2004A7TS0298G,2004,111
2012A4PS0349H,2012,334
2007B2TS0893P,2007,183
2006B5TS0132G,2006,166
2010B4PS0955H,2010,297
2005A7PS0036H,2005,132
2015A7TS0397H,2015,414
2023B4TS0060H,2023,728
2019A4TS0414H,2019,521
2016B1PS0738P,2016,449
2020A1TS0229P,2020,590
2008A1PS0039G,2008,233
2024B3TS0380P,2024,833
2011A7TS0882H,2011,320
2020A8PS0988G,2020,588
2006A8PS0273H,2006,171
2019A1TS0381H,2019,538
2017B1PS0771G,2017,465
2006B3PS0412P,2006,174
2020A8PS0662P,2020,552
2006A3TS0840G,2006,153
2014B4TS0077G,2014,383
2015B5TS0865P,2015,416
2013B4PS0341G,2013,368
2024B5PS0118H,2024,842
2004A7PS0221H,2004,114
2008B4PS0244H,2008,244
2005B5TS0274H,2005,147
2013B2PS0961H,2013,351
2006B3TS0418P,2006,173
2023B2PS0808H,2023,726
2023B5PS0536H,2023,722
2016A3PS0446P,2016,426
2008B1TS0957P,2008,244
2009A1PS0101H,2009,263
2020AAPS0585G,2020,595
2004B3TS0736H,2004,117
2005B4PS0628P,2005,141
2015A3PS0823H,2015,411
2013A3PS0578H,2013,351
2020A1PS0957G,2020,563
2020B4TS0706P,2020,579
2011B1TS0643H,2011,303
2007B4TS0809H,2007,192
2018B5TS0921P,2018,493
2018A3PS0102G,2018,479
2016A4PS0649G,2016,444
2021B4TS0773H,2021,637
2010A1TS0265P,2010,294
2017A1TS0488P,2017,462
2021A1TS0424H,2021,646
2021A7TS0912G,2021,610
2008B4TS0326H,2008,232
2019B4TS0377H,2019,520
2014B2PS0132H,2014,398
2008B5PS0195H,2008,240
2021A3PS0762H,2021,615
2021A4TS0448H,2021,631
2015B3TS0806P,2015,408
2017B4TS0477G,2017,470
2019B2PS0048P,2019,504
2008B4PS0552H,2008,233
2009B1TS0301P,2009,263
2016A7TS0862H,2016,440
2022B4PS0069P,2022,695
2019A8PS0312H,2019,538
2017AATS0148H,2017,453
2004B4PS0293P,2004,112
2019A8PS0417H,2019,516
2016A4PS0723P,2016,446
2021B4TS0158H,2021,618
2012B3TS0461G,2012,329
2019AAPS0901P,2019,506
2020B2PS0392G,2020,589
2021B1PS0246P,2021,639
2014A4TS0024H,2014,396
2007A4TS0854G,2007,179
2009B2PS0242G,2009,251
2021A4TS0285G,2021,639
2012A7PS0526P,2012,344
2014B4TS0993P,2014,395
2010B2TS0526G,2010,295
2012B4PS0285H,2012,348
2011A1TS0007P,2011,321
2014A4TS0240P,2014,377
2021A8PS0255H,2021,606
2019A4PS0354G,2019,549
2011B4TS0766P,2011,311
2020B2PS0139P,2020,555
2024B3PS0655G,2024,765
2019B4PS0898G,2019,517
2016AAPS0695G,2016,433
2023A1PS0841G,2023,717
2024A8PS0326P,2024,760
2024A7PS0275H,2024,824
2019B3TS0631H,2019,523
2022A1TS0248G,2022,674
2009A3TS0571P,2009,251
2006B2TS0450P,2006,168
2016B1TS0828H,2016,434
2005B1TS0331G,2005,147
2015A4TS0545H,2015,422
2022B1PS0986H,2022,699
2011B1TS0800P,2011,315
2010A3TS0556G,2010,293
2006A8TS0192G,2006,163
2015B3TS0020G,2015,401
2021A3TS0519H,2021,635
2007A7PS0988P,2007,196
2020A1PS0121P,2020,560
2008A7PS0301P,2008,242
2016B2TS0195H,2016,433
2021B5TS0293P,2021,613
2020B5PS0225H,2020,584
2020A4PS0608P,2020,562
2023A7PS0071P,2023,723
2019A7TS0467H,2019,520
2009B5TS0140P,2009,264
2019A7TS0664P,2019,540
2005A7TS0878H,2005,130
2019B5PS0611G,2019,518
2021A4TS0783G,2021,626
2017A3PS0709P,2017,450
2020A1PS0124G,2020,590
2019A3TS0276G,2019,521
2010B3TS0007H,2010,293
2008B1PS0285H,2008,226
2004B5TS0923H,2004,120
2012B5TS0683P,2012,345
2016A1TS0184G,2016,439
2008A4PS0473G,2008,227
2008B3TS0400H,2008,231
2016A1TS0759G,2016,438
2005B5TS0581P,2005,128
2024A3PS0432G,2024,790
2012A8TS0759P,2012,329
2008A1TS0827P,2008,243
2006A4TS0637P,2006,155
2013AATS0729P,2013,367
2013B4TS0376H,2013,368
2012B2TS0945G,2012,344
2024B5PS0303P,2024,839
2010B1TS0569H,2010,289
2019A3PS0451G,2019,546
2006B1PS0453G,2006,168
2019B4PS0508G,2019,538
2009A3PS0643G,2009,252
2018B3TS0361H,2018,484
2020B4PS0220H,2020,583
2005AAPS0015P,2005,144
2020B3TS0343G,2020,552
2024AATS0768G,2024,795
2016B1TS0364P,2016,428
2017A8PS0452G,2017,462
